日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
110/03/04,"99,600,102","2,686,122,227",27.00,27.30,26.55,26.60,-1.00,"26,314"
110/03/05,"115,422,119","3,054,643,642",25.90,27.00,25.80,26.05,-0.55,"28,611"
110/03/08,"151,261,858","4,081,151,208",26.55,27.55,26.50,26.80,+0.75,"33,719"
110/03/09,"124,505,842","3,380,456,163",26.90,27.75,26.40,27.60,+0.80,"27,854"
110/03/10,"185,820,228","5,214,793,372",27.75,28.65,27.35,28.00,+0.40,"43,652"
110/03/11,"192,861,686","5,541,269,801",28.75,29.35,28.05,28.10,+0.10,"48,451"
110/03/12,"290,550,466","8,497,029,929",29.00,29.95,28.45,29.15,+1.05,"69,887"
110/03/15,"277,317,445","8,429,457,310",29.70,31.30,29.60,31.30,+2.15,"75,302"
110/03/16,"240,779,610","7,320,577,334",31.10,31.10,29.90,30.05,-1.25,"63,006"
110/03/17,"232,781,489","7,202,029,577",30.30,31.65,30.10,31.30,+1.25,"55,872"
110/03/18,"186,140,184","5,895,929,843",31.65,32.00,31.30,31.90,+0.60,"43,733"
110/03/19,"362,851,232","11,796,378,399",31.40,33.70,31.25,32.60,+0.70,"91,593"
110/03/22,"259,149,682","9,227,903,857",35.80,35.85,34.55,35.85,+3.25,"60,107"
110/03/23,"112,545,632","3,854,633,182",36.50,36.50,32.35,33.50,-2.35,"48,399"
110/03/24,"54,860,713","1,829,870,014",32.40,34.00,32.40,33.80,+0.30,"20,971"
110/03/25,"46,345,731","1,517,130,608",33.70,33.70,32.45,32.50,-1.30,"19,715"
110/03/26,"49,045,755","1,641,551,676",32.80,34.20,32.75,34.00,+1.50,"18,067"
110/03/29,"62,588,813","2,207,707,487",34.70,35.60,34.70,35.25,+1.25,"21,829"
110/03/30,"48,012,806","1,678,145,873",35.50,35.50,34.00,35.40,+0.15,"18,541"
110/03/31,"84,149,262","3,137,466,960",35.80,38.00,35.80,37.70,+2.30,"32,192"
110/04/01,"79,597,634","3,146,027,315",39.15,40.20,38.85,40.15,+2.45,"32,537"
110/04/06,"91,673,678","3,904,959,185",41.50,44.15,40.15,44.15,+4.00,"34,087"
110/04/07,"91,018,661","4,141,809,027",44.20,47.55,43.95,46.35,+2.20,"37,586"
110/04/08,"275,160,137","12,786,048,138",46.00,47.60,45.30,46.20,-0.15,"81,730"
110/04/09,"68,509,682","2,892,617,875",43.00,43.00,41.60,42.75,-3.45,"21,394"
110/04/12,"48,961,969","2,245,253,404",44.90,46.20,44.90,46.10,+3.35,"11,780"
110/04/13,"49,368,382","2,297,635,764",46.10,47.50,44.80,44.80,-1.30,"12,584"
110/04/14,"61,960,067","2,740,820,695",45.10,46.40,40.85,45.50,+0.70,"12,025"
110/04/15,"45,148,702","2,108,009,451",45.60,47.50,45.60,46.70,+1.20,"9,948"
110/04/16,"55,192,034","2,667,387,081",47.20,50.60,47.10,50.60,+3.90,"14,602"
110/04/19,"66,438,648","3,641,434,331",52.60,55.60,52.60,55.00,+4.40,"17,004"
110/04/20,"44,983,322","2,482,167,812",55.50,57.00,53.90,57.00,+2.00,"12,511"
110/04/21,"51,583,312","3,184,772,752",58.80,62.70,58.80,62.70,+5.70,"14,293"
110/04/22,"76,617,586","4,850,016,580",65.00,68.30,58.00,59.60,-3.10,"20,969"
110/04/23,"420,124,249","24,892,545,015",62.00,63.00,54.80,60.40,+0.80,"127,644"
110/04/26,"189,302,930","12,380,465,170",63.00,66.40,62.50,66.40,+6.00,"48,837"
110/04/27,"402,224,622","28,553,304,863",69.40,73.00,67.70,72.00,+5.60,"125,488"
110/04/28,"415,394,530","31,185,975,298",73.50,77.30,71.60,75.00,+3.00,"145,494"
110/04/29,"342,752,996","25,965,697,100",76.90,80.00,72.30,79.80,+4.80,"116,342"
110/05/03,"317,654,743","27,556,327,891",86.10,87.70,83.80,87.70,+7.90,"96,172"
110/05/04,"797,676,562","68,110,707,914",87.00,92.40,79.00,80.00,-7.70,"296,950"
110/05/05,"512,337,017","42,655,306,679",81.70,87.40,75.50,87.00,+7.00,"189,778"
110/05/06,"478,298,147","41,568,801,547",89.90,91.30,82.10,84.30,-2.70,"182,097"
110/05/07,"481,188,280","42,105,162,886",88.40,91.50,83.70,91.50,+7.20,"176,332"
110/05/10,"445,425,315","43,375,501,242",91.60,100.50,90.20,100.50,+9.00,"175,505"
110/05/11,"544,098,491","54,414,080,817",98.00,105.50,91.30,97.60,-2.90,"221,014"
110/05/12,"363,996,329","33,422,302,396",95.00,98.30,87.90,87.90,-9.70,"144,698"
110/05/13,"574,319,285","46,703,260,460",79.20,88.50,79.20,79.20,-8.70,"198,782"
110/05/14,"647,739,529","49,155,207,697",82.50,83.80,71.30,74.00,-5.20,"226,658"
110/05/17,"569,893,393","39,787,756,830",69.90,74.30,66.60,66.60,-7.40,"182,304"
110/05/18,"276,730,144","19,891,632,374",70.50,73.20,68.60,73.20,+6.60,"81,806"
110/05/19,"375,849,670","29,581,498,440",76.90,80.50,76.00,80.50,+7.30,"127,058"
110/05/20,"719,139,581","60,302,129,629",81.00,87.30,79.10,83.50,+3.00,"269,327"
110/05/21,"525,852,293","46,931,658,114",87.00,91.80,86.90,91.80,+8.30,"191,761"
110/05/24,"636,015,199","60,594,689,803",92.00,99.30,89.30,93.10,+1.30,"261,799"
110/05/25,"592,190,809","53,892,304,561",96.90,98.20,84.00,91.00,-2.10,"245,905"
110/05/26,"719,247,087","67,945,718,351",92.80,99.40,87.10,98.80,+7.80,"275,645"
110/05/27,"756,487,769","77,476,567,956",100.00,105.50,99.30,103.00,+4.20,"240,429"
110/05/28,"488,929,003","52,308,458,041",105.50,112.00,103.00,108.00,+5.00,"204,797"
110/05/31,"491,276,154","53,587,498,935",110.50,115.00,102.00,102.50,-5.50,"209,000"
110/06/01,"406,062,794","43,351,527,510",105.50,112.50,101.00,112.50,+10.00,"154,437"
110/06/02,"498,833,551","57,026,409,480",114.00,118.50,111.00,111.00,-1.50,"196,117"
110/06/03,"471,284,102","53,875,505,840",113.50,117.50,111.00,112.50,+1.50,"171,940"
110/06/04,"404,392,317","46,986,862,426",114.00,119.50,113.00,115.50,+3.00,"132,400"
110/06/07,"526,517,403","58,139,351,475",117.50,118.00,104.00,107.00,-8.50,"203,654"
110/06/08,"266,769,293","29,722,656,566",108.00,114.50,107.50,114.50,+7.50,"99,763"
110/06/09,"328,556,712","37,597,188,670",116.00,117.00,111.00,113.00,-1.50,"124,765"
110/06/10,"328,143,553","35,934,522,313",114.00,115.00,105.00,110.50,-2.50,"119,530"
110/06/11,"440,136,189","51,018,864,892",112.00,119.00,111.00,116.00,+5.50,"166,814"
110/06/15,"445,650,897","54,895,595,775",118.50,127.50,117.00,127.50,+11.50,"160,016"
110/06/16,"673,719,863","89,863,038,321",129.00,140.00,128.00,130.00,+2.50,"281,869"
110/06/17,"442,473,236","58,297,577,337",130.00,140.50,124.00,140.50,+10.50,"177,416"
110/06/18,"747,990,717","109,530,140,668",138.50,151.00,137.50,149.50,+9.00,"291,625"
110/06/21,"650,922,348","102,822,682,655",150.00,162.50,148.50,158.50,+9.00,"269,676"
110/06/22,"106,624,596","16,885,055,608",162.00,163.00,152.00,154.50,-4.00,"72,879"
110/06/23,"135,256,310","19,332,606,158",146.00,150.00,139.50,139.50,-15.00,"100,084"
110/06/24,"81,397,824","11,678,671,600",133.00,149.00,133.00,149.00,+9.50,"53,351"
110/06/25,"77,872,902","11,763,893,197",153.00,153.00,146.00,151.00,+2.00,"50,201"
110/06/28,"92,488,436","15,059,255,610",156.50,166.00,156.50,166.00,+15.00,"59,029"
110/06/29,"104,157,817","17,391,315,760",171.00,173.00,160.00,166.00, 0.00,"74,716"
110/06/30,"90,212,745","15,831,651,676",166.50,182.50,166.50,182.50,+16.50,"64,148"
110/07/01,"114,395,747","22,088,178,301",188.00,200.50,183.00,196.00,+13.50,"81,782"
110/07/02,"90,009,902","17,254,329,502",197.00,197.00,186.00,191.00,-5.00,"70,421"
110/07/05,"87,982,844","16,708,640,720",198.00,198.00,180.00,197.00,+6.00,"61,045"
110/07/06,"423,072,466","89,704,375,832",201.00,216.50,196.00,216.50,+19.50,"165,276"
110/07/07,"613,283,761","133,948,767,971",222.00,234.50,195.50,210.00,-6.50,"309,213"
110/07/08,"670,995,009","141,669,265,366",216.00,227.00,194.00,216.50,+6.50,"358,252"
110/07/09,"579,705,972","120,349,810,169",207.00,219.00,195.50,195.50,-21.00,"307,133"
110/07/12,"531,241,944","107,156,124,164",206.50,212.00,187.00,195.50, 0.00,"272,074"
110/07/13,"545,938,539","102,754,368,506",202.00,204.00,176.00,176.00,-19.50,"283,905"
